Tipo de instancia,CPU virtuales,Núcleos,Velocidad de reloj constante (GHz),Memoria (GiB),Almacenamiento (GB),Rendimiento de la red,Bajo demanda Linux precios,Bajo demanda Windows precios,Bajo demanda SUSE precios,Bajo demanda RHEL precios
c5d.4xlarge,16,8,3.4,32,400,10 Gigabit,0.92 USD por hora,1.656 USD por hora,1.02 USD por hora,1.05 USD por hora
c5d.9xlarge,36,18,3.4,72,900,12 Gigabit,2.07 USD por hora,3.726 USD por hora,2.17 USD por hora,2.2 USD por hora
c5d.12xlarge,48,24,3.6,96,1800,12 Gigabit,2.76 USD por hora,4.968 USD por hora,2.86 USD por hora,2.89 USD por hora
c5d.18xlarge,72,36,3.4,144,1800,25 Gigabit,4.14 USD por hora,7.452 USD por hora,4.24 USD por hora,4.27 USD por hora
c5d.24xlarge,96,48,3.6,192,3600,25 Gigabit,5.52 USD por hora,9.936 USD por hora,5.62 USD por hora,5.65 USD por hora
c5d.metal,96,48,3.6,192,3600,25 Gigabit,5.52 USD por hora,9.936 USD por hora,5.62 USD por hora,5.65 USD por hora
c5n.large,2,1,3.4,5.3,-,25 Gigabit,0.128 USD por hora,0.22 USD por hora,0.184 USD por hora,0.188 USD por hora
c5n.xlarge,4,2,3.4,10.5,-,25 Gigabit,0.256 USD por hora,0.44 USD por hora,0.312 USD por hora,0.316 USD por hora
c5n.2xlarge,8,4,3.4,21,-,25 Gigabit,0.512 USD por hora,0.88 USD por hora,0.637 USD por hora,0.642 USD por hora
c5n.4xlarge,16,8,3.4,42,-,25 Gigabit,1.024 USD por hora,1.76 USD por hora,1.149 USD por hora,1.154 USD por hora
c5n.9xlarge,36,18,3.4,96,-,50 Gigabit,2.304 USD por hora,3.96 USD por hora,2.429 USD por hora,2.434 USD por hora
c5n.18xlarge,72,36,3.4,192,-,100 Gigabit,4.608 USD por hora,7.92 USD por hora,4.733 USD por hora,4.738 USD por hora
c5n.metal,72,36,3.4,192,-,100 Gigabit,4.608 USD por hora,7.92 USD por hora,4.733 USD por hora,4.738 USD por hora
c6a.large,2,1,3.6,4,-,12.5 Gigabit,0.0909 USD por hora,0.1829 USD por hora,0.1472 USD por hora,0.1509 USD por hora
c6a.xlarge,4,2,3.6,8,-,12.5 Gigabit,0.1818 USD por hora,0.3658 USD por hora,0.2381 USD por hora,0.2418 USD por hora
c6a.2xlarge,8,4,3.6,16,-,12.5 Gigabit,0.3636 USD por hora,0.7316 USD por hora,0.4886 USD por hora,0.4936 USD por hora
c6a.4xlarge,16,8,3.6,32,-,12.5 Gigabit,0.7272 USD por hora,1.4632 USD por hora,0.8522 USD por hora,0.8572 USD por hora
c6a.8xlarge,32,16,3.6,64,-,12.5 Gigabit,1.4544 USD por hora,2.9264 USD por hora,1.5794 USD por hora,1.5844 USD por hora
c6a.12xlarge,48,24,3.6,96,-,18.75 Gigabit,2.1816 USD por hora,4.3896 USD por hora,2.3066 USD por hora,2.3116 USD por hora
c6a.16xlarge,64,32,3.6,128,-,25 Gigabit,2.9088 USD por hora,5.8528 USD por hora,3.0338 USD por hora,3.0388 USD por hora
c6a.24xlarge,96,48,3.6,192,-,37.5 Gigabit,4.3632 USD por hora,8.7792 USD por hora,4.4882 USD por hora,4.4932 USD por hora
c6a.32xlarge,128,64,3.6,256,-,50 Gigabit,5.8176 USD por hora,11.7056 USD por hora,5.9426 USD por hora,5.9476 USD por hora
c6a.48xlarge,192,96,3.6,384,-,50 Gigabit,8.7264 USD por hora,17.5584 USD por hora,8.8514 USD por hora,8.8564 USD por hora
c6a.metal,192,96,3.6,384,-,50 Gigabit,8.7264 USD por hora,17.5584 USD por hora,8.8514 USD por hora,8.8564 USD por hora
c6g.medium,1,1,2.5,2,-,10 Gigabit,0.0404 USD por hora,,0.0714 USD por hora,0.1004 USD por hora
c6g.large,2,2,2.5,4,-,10 Gigabit,0.0808 USD por hora,,0.1371 USD por hora,0.1408 USD por hora
c6g.xlarge,4,4,2.5,8,-,10 Gigabit,0.1616 USD por hora,,0.2179 USD por hora,0.2216 USD por hora
c6g.2xlarge,8,8,2.5,16,-,10 Gigabit,0.3232 USD por hora,,0.4482 USD por hora,0.4532 USD por hora
c6g.4xlarge,16,16,2.5,32,-,10 Gigabit,0.6464 USD por hora,,0.7714 USD por hora,0.7764 USD por hora
c6g.8xlarge,32,32,2.5,64,-,12 Gigabit,1.2928 USD por hora,,1.4178 USD por hora,1.4228 USD por hora
c6g.12xlarge,48,48,2.5,96,-,20 Gigabit,1.9392 USD por hora,,2.0642 USD por hora,2.0692 USD por hora
c6g.16xlarge,64,64,2.5,128,-,25 Gigabit,2.5856 USD por hora,,2.7106 USD por hora,2.7156 USD por hora
c6g.metal,64,64,2.5,128,-,25 Gigabit,2.5856 USD por hora,,2.7106 USD por hora,2.7156 USD por hora
c6gd.medium,1,1,2.5,2,59,10 Gigabit,0.046 USD por hora,,0.077 USD por hora,0.106 USD por hora
c6gd.large,2,2,2.5,4,118,10 Gigabit,0.092 USD por hora,,0.1483 USD por hora,0.152 USD por hora
c6gd.xlarge,4,4,2.5,8,237,10 Gigabit,0.184 USD por hora,,0.2403 USD por hora,0.244 USD por hora
c6gd.2xlarge,8,8,2.5,16,474,10 Gigabit,0.368 USD por hora,,0.493 USD por hora,0.498 USD por hora
c6gd.4xlarge,16,16,2.5,32,950,10 Gigabit,0.736 USD por hora,,0.861 USD por hora,0.866 USD por hora
c6gd.8xlarge,32,32,2.5,64,1900,12 Gigabit,1.472 USD por hora,,1.597 USD por hora,1.602 USD por hora
c6gd.12xlarge,48,48,2.5,96,2850,20 Gigabit,2.208 USD por hora,,2.333 USD por hora,2.338 USD por hora
c6gd.16xlarge,64,64,2.5,128,3800,25 Gigabit,2.944 USD por hora,,3.069 USD por hora,3.074 USD por hora
c6gd.metal,64,64,2.5,128,3800,25 Gigabit,2.944 USD por hora,,3.069 USD por hora,3.074 USD por hora
c6gn.medium,1,1,2.5,2,-,16 Gigabit,0.05125 USD por hora,,0.08225 USD por hora,0.11125 USD por hora
c6gn.large,2,2,2.5,4,-,25 Gigabit,0.1025 USD por hora,,0.1588 USD por hora,0.1625 USD por hora
c6gn.xlarge,4,4,2.5,8,-,25 Gigabit,0.205 USD por hora,,0.2613 USD por hora,0.265 USD por hora
c6gn.2xlarge,8,8,2.5,16,-,25 Gigabit,0.41 USD por hora,,0.535 USD por hora,0.54 USD por hora
c6gn.4xlarge,16,16,2.5,32,-,25 Gigabit,0.82 USD por hora,,0.945 USD por hora,0.95 USD por hora
c6gn.8xlarge,32,32,2.5,64,-,50 Gigabit,1.64 USD por hora,,1.765 USD por hora,1.77 USD por hora
c6gn.12xlarge,48,48,2.5,96,-,75 Gigabit,2.46 USD por hora,,2.585 USD por hora,2.59 USD por hora
c6gn.16xlarge,64,64,2.5,128,-,100 Gigabit,3.28 USD por hora,,3.405 USD por hora,3.41 USD por hora
c6i.large,2,1,3.5,4,-,12.5 Gigabit,0.101 USD por hora,0.193 USD por hora,0.1573 USD por hora,0.161 USD por hora
c6i.xlarge,4,2,3.5,8,-,12.5 Gigabit,0.202 USD por hora,0.386 USD por hora,0.2583 USD por hora,0.262 USD por hora
c6i.2xlarge,8,4,3.5,16,-,12.5 Gigabit,0.404 USD por hora,0.772 USD por hora,0.529 USD por hora,0.534 USD por hora
c6i.4xlarge,16,8,3.5,32,-,12.5 Gigabit,0.808 USD por hora,1.544 USD por hora,0.933 USD por hora,0.938 USD por hora
c6i.8xlarge,32,16,3.5,64,-,12.5 Gigabit,1.616 USD por hora,3.088 USD por hora,1.741 USD por hora,1.746 USD por hora
c6i.12xlarge,48,24,3.5,96,-,18.75 Gigabit,2.424 USD por hora,4.632 USD por hora,2.549 USD por hora,2.554 USD por hora
c6i.16xlarge,64,32,3.5,128,-,25 Gigabit,3.232 USD por hora,6.176 USD por hora,3.357 USD por hora,3.362 USD por hora
c6i.24xlarge,96,48,3.5,192,-,37.5 Gigabit,4.848 USD por hora,9.264 USD por hora,4.973 USD por hora,4.978 USD por hora
c6i.32xlarge,128,64,3.5,256,-,50 Gigabit,6.464 USD por hora,12.352 USD por hora,6.589 USD por hora,6.594 USD por hora
c6i.metal,128,64,3.5,256,-,50 Gigabit,6.464 USD por hora,12.352 USD por hora,6.589 USD por hora,6.594 USD por hora
c6id.large,2,1,3.5,4,118,12.5 Gigabit,0.12075 USD por hora,0.21275 USD por hora,0.17705 USD por hora,0.18075 USD por hora
c6id.xlarge,4,2,3.5,8,237,12.5 Gigabit,0.2415 USD por hora,0.4255 USD por hora,0.2978 USD por hora,0.3015 USD por hora
c6id.2xlarge,8,4,3.5,16,474,12.5 Gigabit,0.483 USD por hora,0.851 USD por hora,0.608 USD por hora,0.613 USD por hora
c6id.4xlarge,16,8,3.5,32,950,12.5 Gigabit,0.966 USD por hora,1.702 USD por hora,1.091 USD por hora,1.096 USD por hora
c6id.8xlarge,32,16,3.5,64,1900,12.5 Gigabit,1.932 USD por hora,3.404 USD por hora,2.057 USD por hora,2.062 USD por hora
c6id.12xlarge,48,24,3.5,96,2850,18.75 Gigabit,2.898 USD por hora,5.106 USD por hora,3.023 USD por hora,3.028 USD por hora
c6id.16xlarge,64,32,3.5,128,3800,25 Gigabit,3.864 USD por hora,6.808 USD por hora,3.989 USD por hora,3.994 USD por hora
c6id.24xlarge,96,48,3.5,192,5700,37.5 Gigabit,5.796 USD por hora,10.212 USD por hora,5.921 USD por hora,5.926 USD por hora
c6id.32xlarge,128,64,3.5,256,7600,50 Gigabit,7.728 USD por hora,13.616 USD por hora,7.853 USD por hora,7.858 USD por hora
c6id.metal,128,64,3.5,256,7600,50 Gigabit,7.728 USD por hora,13.616 USD por hora,7.853 USD por hora,7.858 USD por hora
c6in.large,2,1,3.5,4,-,25 Gigabit,0.1344 USD por hora,0.2264 USD por hora,0.1907 USD por hora,0.1944 USD por hora
c6in.xlarge,4,2,3.5,8,-,30 Gigabit,0.2688 USD por hora,0.4528 USD por hora,0.3251 USD por hora,0.3288 USD por hora
c6in.2xlarge,8,4,3.5,16,-,40 Gigabit,0.5376 USD por hora,0.9056 USD por hora,0.6626 USD por hora,0.6676 USD por hora
c6in.4xlarge,16,8,3.5,32,-,50 Gigabit,1.0752 USD por hora,1.8112 USD por hora,1.2002 USD por hora,1.2052 USD por hora
c6in.8xlarge,32,16,3.5,64,-,50 Gigabit,2.1504 USD por hora,3.6224 USD por hora,2.2754 USD por hora,2.2804 USD por hora
c6in.12xlarge,48,24,3.5,96,-,75 Gigabit,3.2256 USD por hora,5.4336 USD por hora,3.3506 USD por hora,3.3556 USD por hora
c6in.16xlarge,64,32,3.5,128,-,100 Gigabit,4.3008 USD por hora,7.2448 USD por hora,4.4258 USD por hora,4.4308 USD por hora
c6in.24xlarge,96,48,3.5,192,-,150 Gigabit,6.4512 USD por hora,10.8672 USD por hora,6.5762 USD por hora,6.5812 USD por hora
c6in.32xlarge,128,64,3.5,256,-,200 Gigabit,8.6016 USD por hora,14.4896 USD por hora,8.7266 USD por hora,8.7316 USD por hora
c6in.metal,128,64,3.5,256,-,200 Gigabit,8.6016 USD por hora,14.4896 USD por hora,8.7266 USD por hora,8.7316 USD por hora
c7g.medium,1,1,2.6,2,-,12.5 Gigabit,0.0429 USD por hora,,0.0992 USD por hora,0.1029 USD por hora
c7g.large,2,2,2.6,4,-,12.5 Gigabit,0.0859 USD por hora,,0.1422 USD por hora,0.1459 USD por hora
c7g.xlarge,4,4,2.6,8,-,12.5 Gigabit,0.1717 USD por hora,,0.228 USD por hora,0.2317 USD por hora
c7g.2xlarge,8,8,2.6,16,-,15 Gigabit,0.3434 USD por hora,,0.4684 USD por hora,0.4734 USD por hora
c7g.4xlarge,16,16,2.6,32,-,15 Gigabit,0.6869 USD por hora,,0.8119 USD por hora,0.8169 USD por hora
c7g.8xlarge,32,32,2.6,64,-,15 Gigabit,1.3738 USD por hora,,1.4988 USD por hora,1.5038 USD por hora
c7g.12xlarge,48,48,2.6,96,-,22.5 Gigabit,2.0606 USD por hora,,2.1856 USD por hora,2.1906 USD por hora
c7g.16xlarge,64,64,2.6,128,-,30 Gigabit,2.7475 USD por hora,,2.8725 USD por hora,2.8775 USD por hora
c7g.metal,64,64,2.6,128,-,30 Gigabit,2.7475 USD por hora,,2.8725 USD por hora,2.8775 USD por hora
c7i.large,2,1,3.2,4,-,12.5 Gigabit,0.10605 USD por hora,0.19805 USD por hora,0.16235 USD por hora,0.16605 USD por hora
c7i.xlarge,4,2,3.2,8,-,12.5 Gigabit,0.2121 USD por hora,0.3961 USD por hora,0.2684 USD por hora,0.2721 USD por hora
c7i.2xlarge,8,4,3.2,16,-,12.5 Gigabit,0.4242 USD por hora,0.7922 USD por hora,0.5492 USD por hora,0.5542 USD por hora
c7i.4xlarge,16,8,3.2,32,-,12.5 Gigabit,0.8484 USD por hora,1.5844 USD por hora,0.9734 USD por hora,0.9784 USD por hora
c7i.8xlarge,32,16,3.2,64,-,12.5 Gigabit,1.6968 USD por hora,3.1688 USD por hora,1.8218 USD por hora,1.8268 USD por hora
c7i.12xlarge,48,24,3.2,96,-,18.75 Gigabit,2.5452 USD por hora,4.7532 USD por hora,2.6702 USD por hora,2.6752 USD por hora
c7i.16xlarge,64,32,3.2,128,-,25 Gigabit,3.3936 USD por hora,6.3376 USD por hora,3.5186 USD por hora,3.5236 USD por hora
c7i.24xlarge,96,48,3.2,192,-,37.5 Gigabit,5.0904 USD por hora,9.5064 USD por hora,5.2154 USD por hora,5.2204 USD por hora
c7i.48xlarge,192,96,3.2,384,-,50 Gigabit,10.1808 USD por hora,19.0128 USD por hora,10.3058 USD por hora,10.3108 USD por hora
c7i.metal-24xl,96,48,3.2,192,-,37.5 Gigabit,5.0904 USD por hora,9.5064 USD por hora,5.2154 USD por hora,5.2204 USD por hora
c7i.metal-48xl,192,96,3.2,384,-,50 Gigabit,10.1808 USD por hora,19.0128 USD por hora,10.3058 USD por hora,10.3108 USD por hora
d2.xlarge,4,2,2.4,30.5,6144,Moderate,0.772 USD por hora,0.956 USD por hora,0.872 USD por hora,0.832 USD por hora
d2.2xlarge,8,4,2.4,61,12288,High,1.544 USD por hora,1.912 USD por hora,1.644 USD por hora,1.674 USD por hora
d2.4xlarge,16,8,2.4,122,24576,High,3.087 USD por hora,3.823 USD por hora,3.187 USD por hora,3.217 USD por hora
d2.8xlarge,36,18,2.4,244,49152,10 Gigabit,6.174 USD por hora,7.83 USD por hora,6.274 USD por hora,6.304 USD por hora
d3.xlarge,4,2,3.1,32,5940,15 Gigabit,0.64 USD por hora,0.824 USD por hora,0.696 USD por hora,0.7 USD por hora
d3.2xlarge,8,4,3.1,64,11880,15 Gigabit,1.28 USD por hora,1.648 USD por hora,1.405 USD por hora,1.41 USD por hora
d3.4xlarge,16,8,3.1,128,23760,15 Gigabit,2.559 USD por hora,3.295 USD por hora,2.684 USD por hora,2.689 USD por hora
d3.8xlarge,32,16,3.1,256,47520,25 Gigabit,5.11824 USD por hora,6.59024 USD por hora,5.24324 USD por hora,5.24824 USD por hora
f1.2xlarge,8,4,2.3,122,470,10 Gigabit,1.906 USD por hora,,2.006 USD por hora,2.036 USD por hora
f1.4xlarge,16,8,2.3,244,940,10 Gigabit,3.812 USD por hora,,3.912 USD por hora,3.942 USD por hora
g3.4xlarge,16,8,2.7,122,-,10 Gigabit,1.429 USD por hora,2.165 USD por hora,1.529 USD por hora,1.559 USD por hora
g3.8xlarge,32,16,2.7,244,-,10 Gigabit,2.858 USD por hora,4.33 USD por hora,2.958 USD por hora,2.988 USD por hora
g3.16xlarge,64,32,2.3,488,-,25 Gigabit,5.716 USD por hora,8.66 USD por hora,5.816 USD por hora,5.846 USD por hora
g3s.xlarge,4,2,2.7,30.5,-,10 Gigabit,0.94 USD por hora,1.124 USD por hora,0.996 USD por hora,1 USD por hora
g4ad.xlarge,4,2,3,16,150,10 Gigabit,0.44271 USD por hora,0.62671 USD por hora,0.49901 USD por hora,0.50271 USD por hora
g4ad.2xlarge,8,4,3,32,300,10 Gigabit,0.63292 USD por hora,1.00092 USD por hora,0.75792 USD por hora,0.76292 USD por hora
g4ad.4xlarge,16,8,3,64,600,10 Gigabit,1.014 USD por hora,1.75 USD por hora,1.139 USD por hora,1.144 USD por hora
g4ad.8xlarge,32,16,3,128,1200,15 Gigabit,2.028 USD por hora,3.5 USD por hora,2.153 USD por hora,2.158 USD por hora
g4ad.16xlarge,64,32,3,256,2400,25 Gigabit,4.056 USD por hora,7 USD por hora,4.181 USD por hora,4.186 USD por hora
g4dn.xlarge,4,2,2.5,16,125,25 Gigabit,0.615 USD por hora,0.799 USD por hora,0.672 USD por hora,0.675 USD por hora
g4dn.2xlarge,8,4,2.5,32,225,25 Gigabit,0.88 USD por hora,1.248 USD por hora,1.005 USD por hora,1.01 USD por hora
g4dn.4xlarge,16,8,2.5,64,225,25 Gigabit,1.409 USD por hora,2.145 USD por hora,1.534 USD por hora,1.539 USD por hora
g4dn.8xlarge,32,16,2.5,128,900,50 Gigabit,2.546 USD por hora,4.018 USD por hora,2.671 USD por hora,2.676 USD por hora
g4dn.12xlarge,48,24,2.5,192,900,50 Gigabit,4.577 USD por hora,6.785 USD por hora,4.702 USD por hora,4.707 USD por hora
g4dn.16xlarge,64,32,2.5,256,900,50 Gigabit,5.092 USD por hora,8.036 USD por hora,5.217 USD por hora,5.222 USD por hora
g4dn.metal,96,48,2.5,384,1800,100 Gigabit,9.154 USD por hora,13.57 USD por hora,9.279 USD por hora,9.284 USD por hora
g5.xlarge,4,2,3.3,16,250,10 Gigabit,1.277 USD por hora,1.461 USD por hora,1.3333 USD por hora,1.337 USD por hora
g5.2xlarge,8,4,3.3,32,450,10 Gigabit,1.53849 USD por hora,1.90649 USD por hora,1.66349 USD por hora,1.66849 USD por hora
g5.4xlarge,16,8,3.3,64,600,25 Gigabit,2.06148 USD por hora,2.79748 USD por hora,2.18648 USD por hora,2.19148 USD por hora
g5.8xlarge,32,16,3.3,128,900,25 Gigabit,3.10745 USD por hora,4.57945 USD por hora,3.23245 USD por hora,3.23745 USD por hora
g5.12xlarge,48,24,3.3,192,3800,40 Gigabit,7.19994 USD por hora,9.40794 USD por hora,7.32494 USD por hora,7.32994 USD por hora
g5.16xlarge,64,32,3.3,256,1900,25 Gigabit,5.1994 USD por hora,8.1434 USD por hora,5.3244 USD por hora,5.3294 USD por hora
g5.24xlarge,96,48,3.3,384,3800,50 Gigabit,10.33786 USD por hora,14.75386 USD por hora,10.46286 USD por hora,10.46786 USD por hora
g5.48xlarge,192,96,3.3,768,7600,100 Gigabit,20.67572 USD por hora,29.50772 USD por hora,20.80072 USD por hora,20.80572 USD por hora
i3.large,2,1,2.3,15.3,475,10 Gigabit,0.181 USD por hora,0.273 USD por hora,0.281 USD por hora,0.241 USD por hora
i3.xlarge,4,2,2.3,30.5,950,10 Gigabit,0.362 USD por hora,0.546 USD por hora,0.462 USD por hora,0.422 USD por hora
i3.2xlarge,8,4,2.3,61,1900,10 Gigabit,0.724 USD por hora,1.092 USD por hora,0.824 USD por hora,0.854 USD por hora
i3.4xlarge,16,8,2.3,122,3800,10 Gigabit,1.448 USD por hora,2.184 USD por hora,1.548 USD por hora,1.578 USD por hora
i3.8xlarge,32,16,2.3,244,7600,10 Gigabit,2.896 USD por hora,4.368 USD por hora,2.996 USD por hora,3.026 USD por hora
i3.16xlarge,64,32,2.3,488,15200,25 Gigabit,5.792 USD por hora,8.736 USD por hora,5.892 USD por hora,5.922 USD por hora
i3.metal,72,36,2.3,512,15200,25 Gigabit,5.792 USD por hora,8.736 USD por hora,5.892 USD por hora,5.922 USD por hora
i3en.large,2,1,3.1,16,1250,25 Gigabit,0.263 USD por hora,0.355 USD por hora,0.319 USD por hora,0.323 USD por hora
i3en.xlarge,4,2,3.1,32,2500,25 Gigabit,0.526 USD por hora,0.71 USD por hora,0.582 USD por hora,0.586 USD por hora
i3en.2xlarge,8,4,3.1,64,5000,25 Gigabit,1.052 USD por hora,1.42 USD por hora,1.177 USD por hora,1.182 USD por hora
i3en.3xlarge,12,6,3.1,96,7500,25 Gigabit,1.578 USD por hora,2.13 USD por hora,1.703 USD por hora,1.708 USD por hora
i3en.6xlarge,24,12,3.1,192,15000,25 Gigabit,3.156 USD por hora,4.26 USD por hora,3.281 USD por hora,3.286 USD por hora
i3en.12xlarge,48,24,3.1,384,30000,50 Gigabit,6.312 USD por hora,8.52 USD por hora,6.437 USD por hora,6.442 USD por hora
i3en.24xlarge,96,48,3.1,768,60000,100 Gigabit,12.624 USD por hora,17.04 USD por hora,12.749 USD por hora,12.754 USD por hora
i3en.metal,96,48,3.1,768,60000,100 Gigabit,12.624 USD por hora,17.04 USD por hora,12.749 USD por hora,12.754 USD por hora
i4i.large,2,1,3.5,16,468,10 Gigabit,0.199 USD por hora,0.291 USD por hora,0.255 USD por hora,0.259 USD por hora
i4i.xlarge,4,2,3.5,32,937,10 Gigabit,0.398 USD por hora,0.582 USD por hora,0.455 USD por hora,0.458 USD por hora
i4i.2xlarge,8,4,3.5,64,1875,12 Gigabit,0.796 USD por hora,1.164 USD por hora,0.921 USD por hora,0.926 USD por hora
i4i.4xlarge,16,8,3.5,128,3750,25 Gigabit,1.593 USD por hora,2.329 USD por hora,1.718 USD por hora,1.723 USD por hora
i4i.8xlarge,32,16,3.5,256,7500,18.75 Gigabit,3.186 USD por hora,4.658 USD por hora,3.311 USD por hora,3.316 USD por hora
i4i.12xlarge,48,24,3.5,384,11250,28.12 Gigabit,4.778 USD por hora,6.986 USD por hora,4.903 USD por hora,4.908 USD por hora
i4i.16xlarge,64,32,3.5,512,15000,37.5 Gigabit,6.371 USD por hora,9.315 USD por hora,6.496 USD por hora,6.501 USD por hora
i4i.24xlarge,96,48,3.5,768,22500,56.25 Gigabit,9.5568 USD por hora,13.9728 USD por hora,9.6818 USD por hora,9.6868 USD por hora
i4i.32xlarge,128,64,3.5,1024,30000,75 Gigabit,12.7424 USD por hora,18.6304 USD por hora,12.8674 USD por hora,12.8724 USD por hora
i4i.metal,128,64,3.5,1024,30000,75 Gigabit,12.742 USD por hora,18.63 USD por hora,12.867 USD por hora,12.872 USD por hora
im4gn.large,2,2,2.5,8,937,25 Gigabit,0.21105 USD por hora,,0.26735 USD por hora,0.27105 USD por hora
