Tipo de instancia,CPU virtuales,Núcleos,Velocidad de reloj constante (GHz),Memoria (GiB),Almacenamiento (GB),Rendimiento de la red,Bajo demanda Linux precios,Bajo demanda Windows precios,Bajo demanda SUSE precios,Bajo demanda RHEL precios
t2.nano,1,1,2.4,0.5,-,Low to Moderate,0.0066 USD por hora,0.0089 USD por hora,0.0066 USD por hora,
t2.micro,1,1,2.5,1,-,Low to Moderate,0.0132 USD por hora,0.0178 USD por hora,0.0132 USD por hora,0.0732 USD por hora
t2.small,1,1,2.5,2,-,Low to Moderate,0.026 USD por hora,0.0352 USD por hora,0.056 USD por hora,0.086 USD por hora
t2.medium,2,2,2.3,4,-,Low to Moderate,0.052 USD por hora,0.0704 USD por hora,0.152 USD por hora,0.112 USD por hora
t2.large,2,2,2.3,8,-,Low to Moderate,0.1056 USD por hora,0.1336 USD por hora,0.2056 USD por hora,0.1656 USD por hora
t2.xlarge,4,4,2.3,16,-,Moderate,0.2112 USD por hora,0.2522 USD por hora,0.3112 USD por hora,0.2712 USD por hora
t2.2xlarge,8,8,2.3,32,-,Moderate,0.4224 USD por hora,0.4844 USD por hora,0.5224 USD por hora,0.5524 USD por hora
t3.nano,2,1,2.5,0.5,-,5 Gigabit,0.0059 USD por hora,0.0105 USD por hora,0.0059 USD por hora,
t3.micro,2,1,2.5,1,-,5 Gigabit,0.0118 USD por hora,0.021 USD por hora,0.0118 USD por hora,0.0718 USD por hora
t3.small,2,1,2.5,2,-,5 Gigabit,0.0236 USD por hora,0.042 USD por hora,0.0546 USD por hora,0.0836 USD por hora
t3.medium,2,1,2.5,4,-,5 Gigabit,0.0472 USD por hora,0.0656 USD por hora,0.1035 USD por hora,0.1072 USD por hora
t3.large,2,1,2.5,8,-,5 Gigabit,0.0944 USD por hora,0.122 USD por hora,0.1507 USD por hora,0.1544 USD por hora
t3.xlarge,4,2,2.5,16,-,5 Gigabit,0.1888 USD por hora,0.2624 USD por hora,0.2451 USD por hora,0.2488 USD por hora
t3.2xlarge,8,4,2.5,32,-,5 Gigabit,0.3776 USD por hora,0.5248 USD por hora,0.5026 USD por hora,0.5076 USD por hora
c4.large,2,1,2.9,3.75,-,Moderate,0.119 USD por hora,0.211 USD por hora,0.219 USD por hora,0.179 USD por hora
c4.xlarge,4,2,2.9,7.5,-,High,0.237 USD por hora,0.421 USD por hora,0.337 USD por hora,0.297 USD por hora
c4.2xlarge,8,4,2.9,15,-,High,0.476 USD por hora,0.844 USD por hora,0.576 USD por hora,0.606 USD por hora
c4.4xlarge,16,8,2.9,30,-,High,0.95 USD por hora,1.686 USD por hora,1.05 USD por hora,1.08 USD por hora
c4.8xlarge,36,18,2.9,60,-,10 Gigabit,1.902 USD por hora,3.558 USD por hora,2.002 USD por hora,2.032 USD por hora
c5.large,2,1,3.4,4,-,10 Gigabit,0.101 USD por hora,0.193 USD por hora,0.157 USD por hora,0.161 USD por hora
c5.xlarge,4,2,3.4,8,-,10 Gigabit,0.202 USD por hora,0.386 USD por hora,0.258 USD por hora,0.262 USD por hora
c5.2xlarge,8,4,3.4,16,-,10 Gigabit,0.404 USD por hora,0.772 USD por hora,0.504 USD por hora,0.534 USD por hora
c5.4xlarge,16,8,3.4,32,-,10 Gigabit,0.808 USD por hora,1.544 USD por hora,0.908 USD por hora,0.938 USD por hora
c5.9xlarge,36,18,3.4,72,-,12 Gigabit,1.818 USD por hora,3.474 USD por hora,1.918 USD por hora,1.948 USD por hora
c5.12xlarge,48,24,3.6,96,-,12 Gigabit,2.424 USD por hora,4.632 USD por hora,2.524 USD por hora,2.554 USD por hora
c5.18xlarge,72,36,3.4,144,-,25 Gigabit,3.636 USD por hora,6.948 USD por hora,3.736 USD por hora,3.766 USD por hora
c5.24xlarge,96,48,3.6,192,-,25 Gigabit,4.848 USD por hora,9.264 USD por hora,4.948 USD por hora,4.978 USD por hora
c5.metal,96,48,3.6,192,-,25 Gigabit,4.848 USD por hora,9.264 USD por hora,4.948 USD por hora,4.978 USD por hora
c5a.large,2,1,3.3,4,-,10 Gigabit,0.091 USD por hora,0.183 USD por hora,0.147 USD por hora,0.151 USD por hora
c5a.xlarge,4,2,3.3,8,-,10 Gigabit,0.182 USD por hora,0.366 USD por hora,0.238 USD por hora,0.242 USD por hora
c5a.2xlarge,8,4,3.3,16,-,10 Gigabit,0.364 USD por hora,0.732 USD por hora,0.489 USD por hora,0.494 USD por hora
c5a.4xlarge,16,8,3.3,32,-,10 Gigabit,0.728 USD por hora,1.464 USD por hora,0.853 USD por hora,0.858 USD por hora
c5a.8xlarge,32,16,3.3,64,-,10 Gigabit,1.456 USD por hora,2.928 USD por hora,1.581 USD por hora,1.586 USD por hora
c5a.12xlarge,48,24,3.3,96,-,12 Gigabit,2.184 USD por hora,4.392 USD por hora,2.309 USD por hora,2.314 USD por hora
c5a.16xlarge,64,32,3.3,128,-,20 Gigabit,2.912 USD por hora,5.856 USD por hora,3.037 USD por hora,3.042 USD por hora
c5a.24xlarge,96,48,3.3,192,-,20 Gigabit,4.368 USD por hora,8.784 USD por hora,4.493 USD por hora,4.498 USD por hora
c5d.large,2,1,3.4,4,50,10 Gigabit,0.115 USD por hora,0.207 USD por hora,0.171 USD por hora,0.175 USD por hora
c5d.xlarge,4,2,3.4,8,100,10 Gigabit,0.23 USD por hora,0.414 USD por hora,0.286 USD por hora,0.29 USD por hora
c5d.2xlarge,8,4,3.4,16,200,10 Gigabit,0.46 USD por hora,0.828 USD por hora,0.56 USD por hora,0.59 USD por hora
