Tipo de instancia,Familia de instancias,Tamaño de instancia,Zonas de disponibilidad,Elegible para la capa gratuita,Prueba gratuita disponible,Sin sistema operativo,Hipervisor,CPU virtuales,Arquitectura,Núcleos,Núcleos válidos,Subprocesos por núcleo,Subprocesos válidos por núcleo,Velocidad de reloj constante (GHz),Memoria (GiB),Almacenamiento (GB),Almacenamiento local de la instancia,Tipo de almacenamiento,Recuento de discos de almacenamiento,Compatibilidad con el cifrado de EBS,Compatibilidad con la optimización de EBS,Rendimiento de la red,Compatibilidad con ENA,Cantidad máxima de interfaces de red,Direcciones IPv4 por interfaz,Direcciones IPv6 por interfaz,Compatibilidad con IPv6,Estrategias de grupos de ubicación admitidas,GPU,FPGA,Compatibilidad con la recuperación automática,Tipos de dispositivos raíz admitidas,Compatibilidad con los alojamientos dedicados,Compatibilidad con la hibernación bajo demanda,Compatibilidad con el rendimiento ampliable en ráfagas,Generación actual,Compatibilidad con ENA Express,Bajo demanda Linux precios,Bajo demanda Windows precios,Bajo demanda SUSE precios,Bajo demanda RHEL precios
c6a.xlarge,c6a,xlarge,"eu-west-2c, eu-west-2b, eu-west-2a",falso,falso,falso,nitro,4,x86_64,2,"1,2",2,"1,2",3.6,8,-,-,-,-,supported,default,Up to 12.5 Gigabit,required,4,15,15,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,false,0.1818 USD por hora,0.3658 USD por hora,0.2381 USD por hora,0.2418 USD por hora
c6a.2xlarge,c6a,2xlarge,"eu-west-2a, eu-west-2c, eu-west-2b",falso,falso,falso,nitro,8,x86_64,4,"1,2,3,4",2,"1,2",3.6,16,-,-,-,-,supported,default,Up to 12.5 Gigabit,required,4,15,15,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,false,0.3636 USD por hora,0.7316 USD por hora,0.4886 USD por hora,0.4936 USD por hora
c6a.4xlarge,c6a,4xlarge,"eu-west-2a, eu-west-2c, eu-west-2b",falso,falso,falso,nitro,16,x86_64,8,"1,2,3,4,5,6,7,8",2,"1,2",3.6,32,-,-,-,-,supported,default,Up to 12.5 Gigabit,required,8,30,30,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,false,0.7272 USD por hora,1.4632 USD por hora,0.8522 USD por hora,0.8572 USD por hora
c6a.8xlarge,c6a,8xlarge,"eu-west-2a, eu-west-2b, eu-west-2c",falso,falso,falso,nitro,32,x86_64,16,"4,6,8,10,12,14,16",2,"1,2",3.6,64,-,-,-,-,supported,default,12.5 Gigabit,required,8,30,30,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,false,1.4544 USD por hora,2.9264 USD por hora,1.5794 USD por hora,1.5844 USD por hora
c6a.12xlarge,c6a,12xlarge,"eu-west-2c, eu-west-2b, eu-west-2a",falso,falso,falso,nitro,48,x86_64,24,"1,2,3,4,5,6,7,8,16,24",2,"1,2",3.6,96,-,-,-,-,supported,default,18.75 Gigabit,required,8,30,30,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,false,2.1816 USD por hora,4.3896 USD por hora,2.3066 USD por hora,2.3116 USD por hora
c6a.16xlarge,c6a,16xlarge,"eu-west-2a, eu-west-2b, eu-west-2c",falso,falso,falso,nitro,64,x86_64,32,"4,6,8,10,12,14,16,32",2,"1,2",3.6,128,-,-,-,-,supported,default,25 Gigabit,required,15,50,50,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,false,2.9088 USD por hora,5.8528 USD por hora,3.0338 USD por hora,3.0388 USD por hora
c6a.24xlarge,c6a,24xlarge,"eu-west-2b, eu-west-2a, eu-west-2c",falso,falso,falso,nitro,96,x86_64,48,"4,6,8,10,12,14,16,32,48",2,"1,2",3.6,192,-,-,-,-,supported,default,37.5 Gigabit,required,15,50,50,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,false,4.3632 USD por hora,8.7792 USD por hora,4.4882 USD por hora,4.4932 USD por hora
c6a.32xlarge,c6a,32xlarge,"eu-west-2b, eu-west-2a, eu-west-2c",falso,falso,falso,nitro,128,x86_64,64,"8,12,16,20,24,28,32,64",2,"1,2",3.6,256,-,-,-,-,supported,default,50 Gigabit,required,15,50,50,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,false,5.8176 USD por hora,11.7056 USD por hora,5.9426 USD por hora,5.9476 USD por hora
c6a.48xlarge,c6a,48xlarge,"eu-west-2c, eu-west-2b, eu-west-2a",falso,falso,falso,nitro,192,x86_64,96,"8,12,16,20,24,28,32,64,96",2,"1,2",3.6,384,-,-,-,-,supported,default,50 Gigabit,required,15,50,50,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,true,8.7264 USD por hora,17.5584 USD por hora,8.8514 USD por hora,8.8564 USD por hora
c6a.metal,c6a,metal,"eu-west-2b, eu-west-2a, eu-west-2c",falso,falso,verdadero,,192,x86_64,96,-,2,-,3.6,384,-,-,-,-,supported,default,50 Gigabit,required,15,50,50,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,true,8.7264 USD por hora,17.5584 USD por hora,8.8514 USD por hora,8.8564 USD por hora
c6g.medium,c6g,medium,"eu-west-2b, eu-west-2c, eu-west-2a",falso,falso,falso,nitro,1,arm64,1,-,1,-,2.5,2,-,-,-,-,supported,default,Up to 10 Gigabit,required,2,4,4,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,false,0.0404 USD por hora,,0.0714 USD por hora,0.1004 USD por hora
c6g.large,c6g,large,"eu-west-2b, eu-west-2a, eu-west-2c",falso,falso,falso,nitro,2,arm64,2,"1,2",1,1,2.5,4,-,-,-,-,supported,default,Up to 10 Gigabit,required,3,10,10,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,false,0.0808 USD por hora,,0.1371 USD por hora,0.1408 USD por hora
c6g.xlarge,c6g,xlarge,"eu-west-2c, eu-west-2b, eu-west-2a",falso,falso,falso,nitro,4,arm64,4,"1,2,3,4",1,1,2.5,8,-,-,-,-,supported,default,Up to 10 Gigabit,required,4,15,15,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,false,0.1616 USD por hora,,0.2179 USD por hora,0.2216 USD por hora
c6g.2xlarge,c6g,2xlarge,"eu-west-2b, eu-west-2a, eu-west-2c",falso,falso,falso,nitro,8,arm64,8,"1,2,3,4,5,6,7,8",1,1,2.5,16,-,-,-,-,supported,default,Up to 10 Gigabit,required,4,15,15,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,false,0.3232 USD por hora,,0.4482 USD por hora,0.4532 USD por hora
c6g.4xlarge,c6g,4xlarge,"eu-west-2b, eu-west-2a, eu-west-2c",falso,falso,falso,nitro,16,arm64,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",1,1,2.5,32,-,-,-,-,supported,default,Up to 10 Gigabit,required,8,30,30,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,false,0.6464 USD por hora,,0.7714 USD por hora,0.7764 USD por hora
c6g.8xlarge,c6g,8xlarge,"eu-west-2b, eu-west-2a, eu-west-2c",falso,falso,falso,nitro,32,arm64,32,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",1,1,2.5,64,-,-,-,-,supported,default,12 Gigabit,required,8,30,30,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,false,1.2928 USD por hora,,1.4178 USD por hora,1.4228 USD por hora
c6g.12xlarge,c6g,12xlarge,"eu-west-2c, eu-west-2a, eu-west-2b",falso,falso,falso,nitro,48,arm64,48,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48",1,1,2.5,96,-,-,-,-,supported,default,20 Gigabit,required,8,30,30,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,false,1.9392 USD por hora,,2.0642 USD por hora,2.0692 USD por hora
c6g.16xlarge,c6g,16xlarge,"eu-west-2a, eu-west-2c, eu-west-2b",falso,falso,falso,nitro,64,arm64,64,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64",1,1,2.5,128,-,-,-,-,supported,default,25 Gigabit,required,15,50,50,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,false,2.5856 USD por hora,,2.7106 USD por hora,2.7156 USD por hora
c6g.metal,c6g,metal,"eu-west-2c, eu-west-2b, eu-west-2a",falso,falso,verdadero,,64,arm64,64,-,1,-,2.5,128,-,-,-,-,supported,default,25 Gigabit,required,15,50,50,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,false,2.5856 USD por hora,,2.7106 USD por hora,2.7156 USD por hora
c6gd.medium,c6gd,medium,"eu-west-2a, eu-west-2c, eu-west-2b",falso,falso,falso,nitro,1,arm64,1,-,1,-,2.5,2,59,verdadero,ssd,1,supported,default,Up to 10 Gigabit,required,2,4,4,verdadero,"cluster, partition, spread",-,-,-,ebs,verdadero,-,-,verdadero,false,0.046 USD por hora,,0.077 USD por hora,0.106 USD por hora
c6gd.large,c6gd,large,"eu-west-2c, eu-west-2b, eu-west-2a",falso,falso,falso,nitro,2,arm64,2,"1,2",1,1,2.5,4,118,verdadero,ssd,1,supported,default,Up to 10 Gigabit,required,3,10,10,verdadero,"cluster, partition, spread",-,-,-,ebs,verdadero,-,-,verdadero,false,0.092 USD por hora,,0.1483 USD por hora,0.152 USD por hora
c6gd.xlarge,c6gd,xlarge,"eu-west-2c, eu-west-2b, eu-west-2a",falso,falso,falso,nitro,4,arm64,4,"1,2,3,4",1,1,2.5,8,237,verdadero,ssd,1,supported,default,Up to 10 Gigabit,required,4,15,15,verdadero,"cluster, partition, spread",-,-,-,ebs,verdadero,-,-,verdadero,false,0.184 USD por hora,,0.2403 USD por hora,0.244 USD por hora
c6gd.2xlarge,c6gd,2xlarge,"eu-west-2c, eu-west-2b, eu-west-2a",falso,falso,falso,nitro,8,arm64,8,"1,2,3,4,5,6,7,8",1,1,2.5,16,474,verdadero,ssd,1,supported,default,Up to 10 Gigabit,required,4,15,15,verdadero,"cluster, partition, spread",-,-,-,ebs,verdadero,-,-,verdadero,false,0.368 USD por hora,,0.493 USD por hora,0.498 USD por hora
c6gd.4xlarge,c6gd,4xlarge,"eu-west-2a, eu-west-2c, eu-west-2b",falso,falso,falso,nitro,16,arm64,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",1,1,2.5,32,950,verdadero,ssd,1,supported,default,Up to 10 Gigabit,required,8,30,30,verdadero,"cluster, partition, spread",-,-,-,ebs,verdadero,-,-,verdadero,false,0.736 USD por hora,,0.861 USD por hora,0.866 USD por hora
c6gd.8xlarge,c6gd,8xlarge,"eu-west-2b, eu-west-2c, eu-west-2a",falso,falso,falso,nitro,32,arm64,32,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",1,1,2.5,64,1900,verdadero,ssd,1,supported,default,12 Gigabit,required,8,30,30,verdadero,"cluster, partition, spread",-,-,-,ebs,verdadero,-,-,verdadero,false,1.472 USD por hora,,1.597 USD por hora,1.602 USD por hora
c6gd.12xlarge,c6gd,12xlarge,"eu-west-2c, eu-west-2b, eu-west-2a",falso,falso,falso,nitro,48,arm64,48,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48",1,1,2.5,96,2850,verdadero,ssd,2,supported,default,20 Gigabit,required,8,30,30,verdadero,"cluster, partition, spread",-,-,-,ebs,verdadero,-,-,verdadero,false,2.208 USD por hora,,2.333 USD por hora,2.338 USD por hora
c6gd.16xlarge,c6gd,16xlarge,"eu-west-2c, eu-west-2a, eu-west-2b",falso,falso,falso,nitro,64,arm64,64,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64",1,1,2.5,128,3800,verdadero,ssd,2,supported,default,25 Gigabit,required,15,50,50,verdadero,"cluster, partition, spread",-,-,-,ebs,verdadero,-,-,verdadero,false,2.944 USD por hora,,3.069 USD por hora,3.074 USD por hora
c6gd.metal,c6gd,metal,"eu-west-2a, eu-west-2b, eu-west-2c",falso,falso,verdadero,,64,arm64,64,-,1,-,2.5,128,3800,verdadero,ssd,2,supported,default,25 Gigabit,required,15,50,50,verdadero,"cluster, partition, spread",-,-,-,ebs,verdadero,-,-,verdadero,false,2.944 USD por hora,,3.069 USD por hora,3.074 USD por hora
c6gn.medium,c6gn,medium,"eu-west-2b, eu-west-2c, eu-west-2a",falso,falso,falso,nitro,1,arm64,1,1,1,1,2.5,2,-,-,-,-,supported,default,Up to 16 Gigabit,required,2,4,4,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,false,0.05125 USD por hora,,0.08225 USD por hora,0.11125 USD por hora
c6gn.large,c6gn,large,"eu-west-2b, eu-west-2c, eu-west-2a",falso,falso,falso,nitro,2,arm64,2,"1,2",1,1,2.5,4,-,-,-,-,supported,default,Up to 25 Gigabit,required,3,10,10,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,false,0.1025 USD por hora,,0.1588 USD por hora,0.1625 USD por hora
c6gn.xlarge,c6gn,xlarge,"eu-west-2a, eu-west-2c, eu-west-2b",falso,falso,falso,nitro,4,arm64,4,"1,2,3,4",1,1,2.5,8,-,-,-,-,supported,default,Up to 25 Gigabit,required,4,15,15,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,false,0.205 USD por hora,,0.2613 USD por hora,0.265 USD por hora
c6gn.2xlarge,c6gn,2xlarge,"eu-west-2a, eu-west-2c, eu-west-2b",falso,falso,falso,nitro,8,arm64,8,"1,2,3,4,5,6,7,8",1,1,2.5,16,-,-,-,-,supported,default,Up to 25 Gigabit,required,4,15,15,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,false,0.41 USD por hora,,0.535 USD por hora,0.54 USD por hora
c6gn.4xlarge,c6gn,4xlarge,"eu-west-2c, eu-west-2a, eu-west-2b",falso,falso,falso,nitro,16,arm64,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",1,1,2.5,32,-,-,-,-,supported,default,25 Gigabit,required,8,30,30,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,false,0.82 USD por hora,,0.945 USD por hora,0.95 USD por hora
c6gn.8xlarge,c6gn,8xlarge,"eu-west-2b, eu-west-2c, eu-west-2a",falso,falso,falso,nitro,32,arm64,32,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",1,1,2.5,64,-,-,-,-,supported,default,50 Gigabit,required,8,30,30,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,false,1.64 USD por hora,,1.765 USD por hora,1.77 USD por hora
c6gn.12xlarge,c6gn,12xlarge,"eu-west-2a, eu-west-2c, eu-west-2b",falso,falso,falso,nitro,48,arm64,48,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48",1,1,2.5,96,-,-,-,-,supported,default,75 Gigabit,required,8,30,30,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,false,2.46 USD por hora,,2.585 USD por hora,2.59 USD por hora
c6gn.16xlarge,c6gn,16xlarge,"eu-west-2b, eu-west-2c, eu-west-2a",falso,falso,falso,nitro,64,arm64,64,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64",1,1,2.5,128,-,-,-,-,supported,default,100 Gigabit,required,15,50,50,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,true,3.28 USD por hora,,3.405 USD por hora,3.41 USD por hora
c6i.large,c6i,large,"eu-west-2b, eu-west-2a, eu-west-2c",falso,falso,falso,nitro,2,x86_64,1,1,2,"1,2",3.5,4,-,-,-,-,supported,default,Up to 12.5 Gigabit,required,3,10,10,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,verdadero,-,verdadero,false,0.101 USD por hora,0.193 USD por hora,0.1573 USD por hora,0.161 USD por hora
c6i.xlarge,c6i,xlarge,"eu-west-2a, eu-west-2c, eu-west-2b",falso,falso,falso,nitro,4,x86_64,2,"1,2",2,"1,2",3.5,8,-,-,-,-,supported,default,Up to 12.5 Gigabit,required,4,15,15,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,verdadero,-,verdadero,false,0.202 USD por hora,0.386 USD por hora,0.2583 USD por hora,0.262 USD por hora
c6i.2xlarge,c6i,2xlarge,"eu-west-2b, eu-west-2c, eu-west-2a",falso,falso,falso,nitro,8,x86_64,4,"2,4",2,"1,2",3.5,16,-,-,-,-,supported,default,Up to 12.5 Gigabit,required,4,15,15,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,verdadero,-,verdadero,false,0.404 USD por hora,0.772 USD por hora,0.529 USD por hora,0.534 USD por hora
c6i.4xlarge,c6i,4xlarge,"eu-west-2c, eu-west-2b, eu-west-2a",falso,falso,falso,nitro,16,x86_64,8,"2,4,6,8",2,"1,2",3.5,32,-,-,-,-,supported,default,Up to 12.5 Gigabit,required,8,30,30,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,verdadero,-,verdadero,false,0.808 USD por hora,1.544 USD por hora,0.933 USD por hora,0.938 USD por hora
c6i.8xlarge,c6i,8xlarge,"eu-west-2a, eu-west-2b, eu-west-2c",falso,falso,falso,nitro,32,x86_64,16,"2,4,6,8,10,12,14,16",2,"1,2",3.5,64,-,-,-,-,supported,default,12.5 Gigabit,required,8,30,30,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,verdadero,-,verdadero,true,1.616 USD por hora,3.088 USD por hora,1.741 USD por hora,1.746 USD por hora
c6i.12xlarge,c6i,12xlarge,"eu-west-2c, eu-west-2a, eu-west-2b",falso,falso,falso,nitro,48,x86_64,24,"2,4,6,8,10,12,14,16,18,20,22,24",2,"1,2",3.5,96,-,-,-,-,supported,default,18.75 Gigabit,required,8,30,30,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,verdadero,-,verdadero,true,2.424 USD por hora,4.632 USD por hora,2.549 USD por hora,2.554 USD por hora
c6i.16xlarge,c6i,16xlarge,"eu-west-2b, eu-west-2a, eu-west-2c",falso,falso,falso,nitro,64,x86_64,32,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32",2,"1,2",3.5,128,-,-,-,-,supported,default,25 Gigabit,required,15,50,50,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,verdadero,-,verdadero,true,3.232 USD por hora,6.176 USD por hora,3.357 USD por hora,3.362 USD por hora
c6i.24xlarge,c6i,24xlarge,"eu-west-2a, eu-west-2c, eu-west-2b",falso,falso,falso,nitro,96,x86_64,48,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48",2,"1,2",3.5,192,-,-,-,-,supported,default,37.5 Gigabit,required,15,50,50,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,true,4.848 USD por hora,9.264 USD por hora,4.973 USD por hora,4.978 USD por hora
c6i.32xlarge,c6i,32xlarge,"eu-west-2b, eu-west-2c, eu-west-2a",falso,falso,falso,nitro,128,x86_64,64,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64",2,"1,2",3.5,256,-,-,-,-,supported,default,50 Gigabit,required,15,50,50,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,true,6.464 USD por hora,12.352 USD por hora,6.589 USD por hora,6.594 USD por hora
c6i.metal,c6i,metal,"eu-west-2c, eu-west-2a, eu-west-2b",falso,falso,verdadero,,128,x86_64,64,-,2,-,3.5,256,-,-,-,-,supported,default,50 Gigabit,required,15,50,50,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,true,6.464 USD por hora,12.352 USD por hora,6.589 USD por hora,6.594 USD por hora
c6id.large,c6id,large,"eu-west-2a, eu-west-2c",falso,falso,falso,nitro,2,x86_64,1,1,2,"1,2",3.5,4,118,verdadero,ssd,1,supported,default,Up to 12.5 Gigabit,required,3,10,10,verdadero,"cluster, partition, spread",-,-,-,ebs,verdadero,verdadero,-,verdadero,false,0.12075 USD por hora,0.21275 USD por hora,0.17705 USD por hora,0.18075 USD por hora
c6id.xlarge,c6id,xlarge,"eu-west-2a, eu-west-2c",falso,falso,falso,nitro,4,x86_64,2,"1,2",2,"1,2",3.5,8,237,verdadero,ssd,1,supported,default,Up to 12.5 Gigabit,required,4,15,15,verdadero,"cluster, partition, spread",-,-,-,ebs,verdadero,verdadero,-,verdadero,false,0.2415 USD por hora,0.4255 USD por hora,0.2978 USD por hora,0.3015 USD por hora
c6id.2xlarge,c6id,2xlarge,"eu-west-2a, eu-west-2c",falso,falso,falso,nitro,8,x86_64,4,"2,4",2,"1,2",3.5,16,474,verdadero,ssd,1,supported,default,Up to 12.5 Gigabit,required,4,15,15,verdadero,"cluster, partition, spread",-,-,-,ebs,verdadero,verdadero,-,verdadero,false,0.483 USD por hora,0.851 USD por hora,0.608 USD por hora,0.613 USD por hora
c6id.4xlarge,c6id,4xlarge,"eu-west-2a, eu-west-2c",falso,falso,falso,nitro,16,x86_64,8,"2,4,6,8",2,"1,2",3.5,32,950,verdadero,ssd,1,supported,default,Up to 12.5 Gigabit,required,8,30,30,verdadero,"cluster, partition, spread",-,-,-,ebs,verdadero,verdadero,-,verdadero,false,0.966 USD por hora,1.702 USD por hora,1.091 USD por hora,1.096 USD por hora
c6id.8xlarge,c6id,8xlarge,"eu-west-2c, eu-west-2a",falso,falso,falso,nitro,32,x86_64,16,"2,4,6,8,10,12,14,16",2,"1,2",3.5,64,1900,verdadero,ssd,1,supported,default,12.5 Gigabit,required,8,30,30,verdadero,"cluster, partition, spread",-,-,-,ebs,verdadero,verdadero,-,verdadero,true,1.932 USD por hora,3.404 USD por hora,2.057 USD por hora,2.062 USD por hora
c6id.12xlarge,c6id,12xlarge,"eu-west-2a, eu-west-2c",falso,falso,falso,nitro,48,x86_64,24,"2,4,6,8,10,12,14,16,18,20,22,24",2,"1,2",3.5,96,2850,verdadero,ssd,2,supported,default,18.75 Gigabit,required,8,30,30,verdadero,"cluster, partition, spread",-,-,-,ebs,verdadero,verdadero,-,verdadero,true,2.898 USD por hora,5.106 USD por hora,3.023 USD por hora,3.028 USD por hora
c6id.16xlarge,c6id,16xlarge,"eu-west-2a, eu-west-2c",falso,falso,falso,nitro,64,x86_64,32,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32",2,"1,2",3.5,128,3800,verdadero,ssd,2,supported,default,25 Gigabit,required,15,50,50,verdadero,"cluster, partition, spread",-,-,-,ebs,verdadero,verdadero,-,verdadero,true,3.864 USD por hora,6.808 USD por hora,3.989 USD por hora,3.994 USD por hora
c6id.24xlarge,c6id,24xlarge,"eu-west-2a, eu-west-2c",falso,falso,falso,nitro,96,x86_64,48,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48",2,"1,2",3.5,192,5700,verdadero,ssd,4,supported,default,37.5 Gigabit,required,15,50,50,verdadero,"cluster, partition, spread",-,-,-,ebs,verdadero,-,-,verdadero,true,5.796 USD por hora,10.212 USD por hora,5.921 USD por hora,5.926 USD por hora
c6id.32xlarge,c6id,32xlarge,"eu-west-2a, eu-west-2c",falso,falso,falso,nitro,128,x86_64,64,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64",2,"1,2",3.5,256,7600,verdadero,ssd,4,supported,default,50 Gigabit,required,15,50,50,verdadero,"cluster, partition, spread",-,-,-,ebs,verdadero,-,-,verdadero,true,7.728 USD por hora,13.616 USD por hora,7.853 USD por hora,7.858 USD por hora
c6id.metal,c6id,metal,"eu-west-2c, eu-west-2a",falso,falso,verdadero,,128,x86_64,64,-,2,-,3.5,256,7600,verdadero,ssd,4,supported,default,50 Gigabit,required,15,50,50,verdadero,"cluster, partition, spread",-,-,-,ebs,verdadero,-,-,verdadero,true,7.728 USD por hora,13.616 USD por hora,7.853 USD por hora,7.858 USD por hora
c6in.large,c6in,large,"eu-west-2c, eu-west-2b, eu-west-2a",falso,falso,falso,nitro,2,x86_64,1,1,2,"1,2",3.5,4,-,-,-,-,supported,default,Up to 25 Gigabit,required,3,10,10,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,false,0.1344 USD por hora,0.2264 USD por hora,0.1907 USD por hora,0.1944 USD por hora
c6in.xlarge,c6in,xlarge,"eu-west-2a, eu-west-2c, eu-west-2b",falso,falso,falso,nitro,4,x86_64,2,"1,2",2,"1,2",3.5,8,-,-,-,-,supported,default,Up to 30 Gigabit,required,4,15,15,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,false,0.2688 USD por hora,0.4528 USD por hora,0.3251 USD por hora,0.3288 USD por hora
c6in.2xlarge,c6in,2xlarge,"eu-west-2b, eu-west-2a, eu-west-2c",falso,falso,falso,nitro,8,x86_64,4,"1,2,3,4",2,"1,2",3.5,16,-,-,-,-,supported,default,Up to 40 Gigabit,required,4,15,15,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,false,0.5376 USD por hora,0.9056 USD por hora,0.6626 USD por hora,0.6676 USD por hora
c6in.4xlarge,c6in,4xlarge,"eu-west-2b, eu-west-2a, eu-west-2c",falso,falso,falso,nitro,16,x86_64,8,"1,2,3,4,5,6,7,8",2,"1,2",3.5,32,-,-,-,-,supported,default,Up to 50 Gigabit,required,8,30,30,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,false,1.0752 USD por hora,1.8112 USD por hora,1.2002 USD por hora,1.2052 USD por hora
c6in.8xlarge,c6in,8xlarge,"eu-west-2b, eu-west-2c, eu-west-2a",falso,falso,falso,nitro,32,x86_64,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",2,"1,2",3.5,64,-,-,-,-,supported,default,50 Gigabit,required,8,30,30,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,-,-,verdadero,false,2.1504 USD por hora,3.6224 USD por hora,2.2754 USD por hora,2.2804 USD por hora
